,State,County,"Population Estimate, 2012","Population Estimate, 2016",PercChangeInPop2012-2016
128, Arkansas,Crittenden ,50065,49235,-1.66
129, Arkansas,Cross ,17651,17037,-3.48
130, Arkansas,Dallas ,7979,7469,-6.39
131, Arkansas,Desha ,12575,11876,-5.56
132, Arkansas,Drew ,18762,18651,-0.59
133, Arkansas,Faulkner ,118534,122227,3.12
134, Arkansas,Franklin ,17957,17626,-1.84
135, Arkansas,Fulton ,12246,12123,-1.0
136, Arkansas,Garland ,96794,97477,0.71
137, Arkansas,Grant ,18026,18082,0.31
138, Arkansas,Greene ,43166,44598,3.32
139, Arkansas,Hempstead ,22346,21974,-1.66
140, Arkansas,Hot Spring ,33457,33374,-0.25
141, Arkansas,Howard ,13693,13377,-2.31
142, Arkansas,Independence ,36925,37168,0.66
143, Arkansas,Izard ,13522,13433,-0.66
144, Arkansas,Jackson ,17649,17221,-2.43
145, Arkansas,Jefferson ,74618,70016,-6.17
146, Arkansas,Johnson ,25911,26176,1.02
147, Arkansas,Lafayette ,7441,6847,-7.98
148, Arkansas,Lawrence ,17047,16735,-1.83
149, Arkansas,Lee ,10162,9310,-8.38
150, Arkansas,Lincoln ,14139,13705,-3.07
151, Arkansas,Little River ,12920,12451,-3.63
152, Arkansas,Logan ,22018,21792,-1.03
153, Arkansas,Lonoke ,70101,72228,3.03
154, Arkansas,Madison ,15619,16072,2.9
155, Arkansas,Marion ,16616,16325,-1.75
156, Arkansas,Miller ,43649,43787,0.32
157, Arkansas,Mississippi ,45531,42835,-5.92
158, Arkansas,Monroe ,7843,7169,-8.59
159, Arkansas,Montgomery ,9320,8879,-4.73
160, Arkansas,Nevada ,8911,8398,-5.76
161, Arkansas,Newton ,8087,7936,-1.87
162, Arkansas,Ouachita ,25405,24098,-5.14
163, Arkansas,Perry ,10336,10132,-1.97
164, Arkansas,Phillips ,20762,18975,-8.61
165, Arkansas,Pike ,11270,10832,-3.89
166, Arkansas,Poinsett ,24293,24023,-1.11
167, Arkansas,Polk ,20440,20173,-1.31
168, Arkansas,Pope ,62631,63779,1.83
169, Arkansas,Prairie ,8460,8251,-2.47
170, Arkansas,Pulaski ,388905,393250,1.12
171, Arkansas,Randolph ,17854,17448,-2.27
172, Arkansas,St. Francis ,27907,26196,-6.13
173, Arkansas,Saline ,111758,118703,6.21
174, Arkansas,Scott ,10986,10277,-6.45
175, Arkansas,Searcy ,7988,7967,-0.26
176, Arkansas,Sebastian ,127418,127793,0.29
177, Arkansas,Sevier ,17153,16910,-1.42
178, Arkansas,Sharp ,17061,17157,0.56
179, Arkansas,Stone ,12610,12539,-0.56
180, Arkansas,Union ,40864,39887,-2.39
181, Arkansas,Van Buren ,17167,16628,-3.14
182, Arkansas,Washington ,211497,228049,7.83
183, Arkansas,White ,78670,79263,0.75
184, Arkansas,Woodruff ,7068,6641,-6.04
185, Arkansas,Yell ,21804,21552,-1.16
186, California,Alameda ,1555542,1647704,5.92
187, California,Alpine ,1123,1071,-4.63
188, California,Amador ,37089,37383,0.79
189, California,Butte ,221180,226864,2.57
190, California,Calaveras ,44760,45171,0.92
191, California,Colusa ,21323,21588,1.24
192, California,Contra Costa ,1078242,1135127,5.28
193, California,Del Norte ,28212,27540,-2.38
194, California,El Dorado ,180558,185625,2.81
195, California,Fresno ,946844,979915,3.49
196, California,Glenn ,27938,28085,0.53
197, California,Humboldt ,134663,136646,1.47
198, California,Imperial ,177287,180883,2.03
199, California,Inyo ,18408,18144,-1.43
200, California,Kern ,855808,884788,3.39
201, California,Kings ,151042,149785,-0.83
202, California,Lake ,63942,64116,0.27
203, California,Lassen ,33662,30870,-8.29
204, California,Los Angeles ,9953555,10137915,1.85
205, California,Madera ,151947,154697,1.81
206, California,Marin ,256064,260651,1.79
207, California,Mariposa ,17858,17410,-2.51
208, California,Mendocino ,87409,87628,0.25
209, California,Merced ,261430,268672,2.77
210, California,Modoc ,9328,8795,-5.71
211, California,Mono ,14325,13981,-2.4
212, California,Monterey ,425799,435232,2.22
213, California,Napa ,138898,142166,2.35
214, California,Nevada ,98305,99107,0.82
215, California,Orange ,3084935,3172532,2.84
216, California,Placer ,361018,380531,5.4
217, California,Plumas ,19327,18627,-3.62
218, California,Riverside ,2264919,2387741,5.42
219, California,Sacramento ,1447236,1514460,4.64
220, California,San Benito ,56799,59414,4.6
221, California,San Bernardino ,2077247,2140096,3.03
222, California,San Diego ,3181513,3317749,4.28
223, California,San Francisco ,828816,870887,5.08
224, California,San Joaquin ,700611,733709,4.72
225, California,San Luis Obispo ,274487,282887,3.06
226, California,San Mateo ,739982,764797,3.35
227, California,Santa Barbara ,430638,446170,3.61
228, California,Santa Clara ,1838988,1919402,4.37
229, California,Santa Cruz ,266435,274673,3.09
230, California,Shasta ,178430,179631,0.67
231, California,Sierra ,3076,2947,-4.19
232, California,Siskiyou ,44147,43603,-1.23
233, California,Solano ,419881,440207,4.84
234, California,Sonoma ,490509,503070,2.56
235, California,Stanislaus ,521360,541560,3.87
236, California,Sutter ,94362,96651,2.43
237, California,Tehama ,63133,63276,0.23
238, California,Trinity ,13500,12782,-5.32
239, California,Tulare ,450701,460437,2.16
240, California,Tuolumne ,54134,53804,-0.61
241, California,Ventura ,834519,849738,1.82
242, California,Yolo ,204929,215802,5.31
243, California,Yuba ,72901,75275,3.26
244, Colorado,Adams ,460472,498187,8.19
245, Colorado,Alamosa ,16141,16654,3.18
246, Colorado,Arapahoe ,596066,637068,6.88
247, Colorado,Archuleta ,12113,12854,6.12
248, Colorado,Baca ,3762,3568,-5.16
249, Colorado,Bent ,5811,5861,0.86
250, Colorado,Boulder ,305350,322226,5.53
251, Colorado,Broomfield ,58930,66529,12.89
252, Colorado,Chaffee ,18105,19058,5.26
253, Colorado,Cheyenne ,1873,1848,-1.33
254, Colorado,Clear Creek ,9075,9436,3.98
255, Colorado,Conejos ,8279,8129,-1.81
256, Colorado,Costilla ,3603,3721,3.28
257, Colorado,Crowley ,5418,5694,5.09
258, Colorado,Custer ,4241,4602,8.51
259, Colorado,Delta ,30438,30442,0.01
260, Colorado,Denver ,633563,693060,9.39
261, Colorado,Dolores ,1998,2056,2.9
262, Colorado,Douglas ,298754,328632,10.0
263, Colorado,Eagle ,51942,53989,3.94
264, Colorado,Elbert ,23400,25231,7.82
265, Colorado,El Paso ,645641,688284,6.6
266, Colorado,Fremont ,47122,47446,0.69
267, Colorado,Garfield ,56709,58887,3.84
268, Colorado,Gilpin ,5453,5931,8.77
269, Colorado,Grand ,14147,15008,6.09
270, Colorado,Gunnison ,15425,16408,6.37
271, Colorado,Hinsdale ,797,788,-1.13
272, Colorado,Huerfano ,6582,6677,1.44
273, Colorado,Jackson ,1347,1357,0.74
274, Colorado,Jefferson ,546080,571837,4.72
275, Colorado,Kiowa ,1438,1373,-4.52
276, Colorado,Kit Carson ,8107,8195,1.09
277, Colorado,Lake ,7280,7618,4.64
278, Colorado,La Plata ,52356,55623,6.24
279, Colorado,Larimer ,310965,339993,9.33
280, Colorado,Las Animas ,14967,14103,-5.77
281, Colorado,Lincoln ,5442,5643,3.69
282, Colorado,Logan ,21846,21919,0.33
283, Colorado,Mesa ,147471,150083,1.77
284, Colorado,Mineral ,710,732,3.1
285, Colorado,Moffat ,13164,13109,-0.42
286, Colorado,Montezuma ,25437,26999,6.14
287, Colorado,Montrose ,40678,41471,1.95
288, Colorado,Morgan ,28331,28274,-0.2
289, Colorado,Otero ,18689,18295,-2.11
290, Colorado,Ouray ,4546,4857,6.84
291, Colorado,Park ,16037,17166,7.04
292, Colorado,Phillips ,4382,4288,-2.15
293, Colorado,Pitkin ,17223,17752,3.07
294, Colorado,Prowers ,12408,11922,-3.92
295, Colorado,Pueblo ,160397,165123,2.95
296, Colorado,Rio Blanco ,6796,6545,-3.69
297, Colorado,Rio Grande ,11882,11479,-3.39
298, Colorado,Routt ,23285,24648,5.85
299, Colorado,Saguache ,6305,6389,1.33
300, Colorado,San Juan ,691,694,0.43
301, Colorado,San Miguel ,7578,8017,5.79
302, Colorado,Sedgwick ,2372,2407,1.48
303, Colorado,Summit ,28223,30374,7.62
304, Colorado,Teller ,23373,24043,2.87
305, Colorado,Washington ,4737,4908,3.61
306, Colorado,Weld ,263997,294932,11.72
307, Colorado,Yuma ,10117,10103,-0.14
308, Connecticut,Fairfield ,934931,944177,0.99
309, Connecticut,Hartford ,897420,892389,-0.56
310, Connecticut,Litchfield ,187487,182571,-2.62
311, Connecticut,Middlesex ,165512,163329,-1.32
312, Connecticut,New Haven ,864177,856875,-0.84
313, Connecticut,New London ,274267,269801,-1.63
314, Connecticut,Tolland ,152006,151118,-0.58
315, Connecticut,Windham ,117995,116192,-1.53
316, Delaware,Kent ,167605,174827,4.31
317, Delaware,New Castle ,546041,556987,2.0
318, Delaware,Sussex ,203347,220251,8.31
319, District of Columbia,District of Columbia,635327,681170,7.22
320, Florida,Alachua ,251587,263496,4.73
321, Florida,Baker ,27055,27937,3.26
322, Florida,Bay ,172029,183974,6.94
323, Florida,Bradford ,27141,26926,-0.79
324, Florida,Brevard ,547753,579130,5.73
325, Florida,Broward ,1816552,1909632,5.12
326, Florida,Calhoun ,14717,14423,-2.0
327, Florida,Charlotte ,162937,178465,9.53
328, Florida,Citrus ,139341,143621,3.07
329, Florida,Clay ,194260,208311,7.23
330, Florida,Collier ,332332,365136,9.87
331, Florida,Columbia ,67949,69299,1.99
332, Florida,DeSoto ,34781,35800,2.93
333, Florida,Dixie ,16074,16300,1.41
334, Florida,Duval ,880870,926255,5.15
335, Florida,Escambia ,304218,315187,3.61
336, Florida,Flagler ,98605,108310,9.84
337, Florida,Franklin ,11637,11901,2.27
338, Florida,Gadsden ,46574,46006,-1.22
339, Florida,Gilchrist ,16886,17212,1.93
340, Florida,Glades ,13007,13970,7.4
341, Florida,Gulf ,15669,15990,2.05
342, Florida,Hamilton ,14732,14361,-2.52
343, Florida,Hardee ,27379,27360,-0.07
344, Florida,Hendry ,37777,39290,4.01
345, Florida,Hernando ,173110,182835,5.62
346, Florida,Highlands ,98045,100917,2.93
347, Florida,Hillsborough ,1281677,1376238,7.38
348, Florida,Holmes ,19739,19487,-1.28
349, Florida,Indian River ,140650,151563,7.76
350, Florida,Jackson ,49011,48229,-1.6
351, Florida,Jefferson ,14204,13906,-2.1
352, Florida,Lafayette ,8811,8617,-2.2
353, Florida,Lake ,303437,335396,10.53
354, Florida,Lee ,644096,722336,12.15
355, Florida,Leon ,283808,287822,1.41
356, Florida,Levy ,39935,39961,0.07
357, Florida,Liberty ,8247,8202,-0.55
358, Florida,Madison ,18939,18224,-3.78
359, Florida,Manatee ,334096,375888,12.51
360, Florida,Marion ,334294,349020,4.41
361, Florida,Martin ,148945,158701,6.55
362, Florida,Miami-Dade ,2607979,2712945,4.02
363, Florida,Monroe ,74833,79077,5.67
364, Florida,Nassau ,74638,80622,8.02
365, Florida,Okaloosa ,190254,201170,5.74
366, Florida,Okeechobee ,39287,40314,2.61
367, Florida,Orange ,1202048,1314367,9.34
368, Florida,Osceola ,289501,336015,16.07
369, Florida,Palm Beach ,1354987,1443810,6.56
370, Florida,Pasco ,470762,512368,8.84
371, Florida,Pinellas ,922075,960730,4.19
372, Florida,Polk ,615294,666149,8.27
373, Florida,Putnam ,73021,72277,-1.02
374, Florida,St. Johns ,202308,235087,16.2
375, Florida,St. Lucie ,283726,306507,8.03
376, Florida,Santa Rosa ,158366,170497,7.66
377, Florida,Sarasota ,386135,412569,6.85
378, Florida,Seminole ,431487,455479,5.56
379, Florida,Sumter ,102790,123996,20.63
380, Florida,Suwannee ,43492,43794,0.69
381, Florida,Taylor ,22762,22175,-2.58
382, Florida,Union ,15235,15142,-0.61
383, Florida,Volusia ,497279,529364,6.45
384, Florida,Wakulla ,30805,31893,3.53
385, Florida,Walton ,57330,65889,14.93
386, Florida,Washington ,24856,24569,-1.15
387, Georgia,Appling ,18379,18428,0.27
388, Georgia,Atkinson ,8255,8273,0.22
389, Georgia,Bacon ,11188,11372,1.64
390, Georgia,Baker ,3365,3150,-6.39
391, Georgia,Baldwin ,46484,45144,-2.88
392, Georgia,Banks ,18233,18397,0.9
393, Georgia,Barrow ,70161,77126,9.93
394, Georgia,Bartow ,100488,103807,3.3
395, Georgia,Ben Hill ,17570,17243,-1.86
396, Georgia,Berrien ,19160,18993,-0.87
397, Georgia,Bibb ,156189,152760,-2.2
398, Georgia,Bleckley ,12909,12970,0.47
399, Georgia,Brantley ,18539,18355,-0.99
400, Georgia,Brooks ,15648,15687,0.25
401, Georgia,Bryan ,32272,36230,12.26
402, Georgia,Bulloch ,73162,74722,2.13
403, Georgia,Burke ,23131,22688,-1.92
404, Georgia,Butts ,23426,23817,1.67
405, Georgia,Calhoun ,6489,6324,-2.54
406, Georgia,Camden ,51407,53008,3.11
407, Georgia,Candler ,11126,10910,-1.94
408, Georgia,Carroll ,111444,116261,4.32
409, Georgia,Catoosa ,65004,66398,2.14
410, Georgia,Charlton ,13332,12497,-6.26
411, Georgia,Chatham ,276521,289082,4.54
412, Georgia,Chattahoochee ,12632,10922,-13.54
413, Georgia,Chattooga ,25629,24824,-3.14
414, Georgia,Cherokee ,220788,241689,9.47
415, Georgia,Clarke ,120174,124707,3.77
416, Georgia,Clay ,3104,3020,-2.71
417, Georgia,Clayton ,266073,279462,5.03
418, Georgia,Clinch ,6732,6829,1.44
419, Georgia,Cobb ,707629,748150,5.73
420, Georgia,Coffee ,43140,43012,-0.3
421, Georgia,Colquitt ,46163,45708,-0.99
422, Georgia,Columbia ,132518,147450,11.27
423, Georgia,Cook ,16908,17167,1.53
424, Georgia,Coweta ,130793,140526,7.44
425, Georgia,Crawford ,12659,12322,-2.66
426, Georgia,Crisp ,23555,22721,-3.54
427, Georgia,Dade ,16534,16257,-1.68
428, Georgia,Dawson ,22371,23604,5.51
429, Georgia,Decatur ,27494,26822,-2.44
430, Georgia,DeKalb ,708800,740321,4.45
431, Georgia,Dodge ,21343,20563,-3.65
432, Georgia,Dooly ,14344,13763,-4.05
433, Georgia,Dougherty ,94590,90017,-4.83
434, Georgia,Douglas ,133804,142224,6.29
435, Georgia,Early ,10615,10339,-2.6
436, Georgia,Echols ,4010,3962,-1.2
437, Georgia,Effingham ,53400,58712,9.95
438, Georgia,Elbert ,19596,19143,-2.31
439, Georgia,Emanuel ,22852,22635,-0.95
440, Georgia,Evans ,10664,10670,0.06
441, Georgia,Fannin ,23476,24900,6.07
442, Georgia,Fayette ,107463,111627,3.87
443, Georgia,Floyd ,96065,96560,0.52
444, Georgia,Forsyth ,187613,221009,17.8
445, Georgia,Franklin ,21955,22320,1.66
446, Georgia,Fulton ,975321,1023336,4.92
447, Georgia,Gilmer ,28210,29733,5.4
448, Georgia,Glascock ,3126,3006,-3.84
449, Georgia,Glynn ,81026,84502,4.29
450, Georgia,Gordon ,55674,56904,2.21
451, Georgia,Grady ,25352,24808,-2.15
452, Georgia,Greene ,16169,17003,5.16
453, Georgia,Gwinnett ,839357,907135,8.07
454, Georgia,Habersham ,43478,44246,1.77
455, Georgia,Hall ,184929,196637,6.33
456, Georgia,Hancock ,9050,8640,-4.53
457, Georgia,Haralson ,28390,29042,2.3
458, Georgia,Harris ,32611,33652,3.19
459, Georgia,Hart ,25582,25553,-0.11
460, Georgia,Heard ,11657,11487,-1.46
461, Georgia,Henry ,208275,221768,6.48
462, Georgia,Houston ,146340,152122,3.95
463, Georgia,Irwin ,9642,9422,-2.28
464, Georgia,Jackson ,60448,64615,6.89
465, Georgia,Jasper ,13586,13654,0.5
466, Georgia,Jeff Davis ,15134,14877,-1.7
467, Georgia,Jefferson ,16414,15916,-3.03
468, Georgia,Jenkins ,9143,8849,-3.22
469, Georgia,Johnson ,9894,9505,-3.93
470, Georgia,Jones ,28778,28623,-0.54
471, Georgia,Lamar ,18055,18469,2.29
472, Georgia,Lanier ,10480,10399,-0.77
473, Georgia,Laurens ,48004,47516,-1.02
474, Georgia,Lee ,28748,29337,2.05
475, Georgia,Liberty ,65426,62570,-4.37
476, Georgia,Lincoln ,7752,7828,0.98
477, Georgia,Long ,16164,18437,14.06
478, Georgia,Lowndes ,114214,114628,0.36
479, Georgia,Lumpkin ,30705,31445,2.41
480, Georgia,McDuffie ,21666,21490,-0.81
481, Georgia,McIntosh ,13842,13927,0.61
482, Georgia,Macon ,14304,13450,-5.97
483, Georgia,Madison ,28050,28824,2.76
484, Georgia,Marion ,8736,8524,-2.43
485, Georgia,Meriwether ,21325,21074,-1.18
486, Georgia,Miller ,5971,5926,-0.75
487, Georgia,Mitchell ,23126,22459,-2.88
488, Georgia,Monroe ,26741,27306,2.11
489, Georgia,Montgomery ,8964,9060,1.07
490, Georgia,Morgan ,17823,18170,1.95
491, Georgia,Murray ,39392,39315,-0.2
492, Georgia,Muscogee ,199466,197485,-0.99
493, Georgia,Newton ,101122,106999,5.81
494, Georgia,Oconee ,33526,36838,9.88
495, Georgia,Oglethorpe ,14620,14921,2.06
496, Georgia,Paulding ,145025,155825,7.45
497, Georgia,Peach ,27504,26655,-3.09
498, Georgia,Pickens ,29327,30832,5.13
499, Georgia,Pierce ,18861,19171,1.64
500, Georgia,Pike ,17795,17941,0.82
501, Georgia,Polk ,41105,41776,1.63
502, Georgia,Pulaski ,11692,11251,-3.77
503, Georgia,Putnam ,21149,21477,1.55
504, Georgia,Quitman ,2407,2335,-2.99
505, Georgia,Rabun ,16314,16559,1.5
506, Georgia,Randolph ,7317,7177,-1.91
507, Georgia,Richmond ,201856,201647,-0.1
508, Georgia,Rockdale ,85625,89355,4.36
509, Georgia,Schley ,4986,5098,2.25
510, Georgia,Screven ,14193,14044,-1.05
