,State,County,"Population Estimate, 2012","Population Estimate, 2016",PercChangeInPop2012-2016
591, Idaho,Teton ,10083,10960,8.7
592, Idaho,Twin Falls ,78440,83514,6.47
593, Idaho,Valley ,9515,10496,10.31
594, Idaho,Washington ,10054,10172,1.17
595, Illinois,Adams ,67164,66578,-0.87
596, Illinois,Alexander ,7712,6478,-16.0
597, Illinois,Bond ,17508,16824,-3.91
598, Illinois,Boone ,53802,53503,-0.56
599, Illinois,Brown ,6894,6762,-1.91
600, Illinois,Bureau ,34350,33359,-2.89
601, Illinois,Calhoun ,5021,4894,-2.53
602, Illinois,Carroll ,15075,14539,-3.56
603, Illinois,Cass ,13411,12676,-5.48
604, Illinois,Champaign ,203937,208419,2.2
605, Illinois,Christian ,34520,33309,-3.51
606, Illinois,Clark ,16301,15938,-2.23
607, Illinois,Clay ,13717,13300,-3.04
608, Illinois,Clinton ,38071,37729,-0.9
609, Illinois,Coles ,53344,52343,-1.88
610, Illinois,Cook ,5230016,5203499,-0.51
611, Illinois,Crawford ,19621,19308,-1.6
612, Illinois,Cumberland ,10942,10858,-0.77
613, Illinois,DeKalb ,104276,104528,0.24
614, Illinois,De Witt ,16497,16226,-1.64
615, Illinois,Douglas ,19822,19630,-0.97
616, Illinois,DuPage ,927668,929368,0.18
617, Illinois,Edgar ,18174,17566,-3.35
618, Illinois,Edwards ,6726,6523,-3.02
619, Illinois,Effingham ,34351,34386,0.1
620, Illinois,Fayette ,22130,21789,-1.54
621, Illinois,Ford ,13982,13575,-2.91
622, Illinois,Franklin ,39874,39156,-1.8
623, Illinois,Fulton ,36624,35536,-2.97
624, Illinois,Gallatin ,5419,5212,-3.82
625, Illinois,Greene ,13631,13093,-3.95
626, Illinois,Grundy ,50168,50437,0.54
627, Illinois,Hamilton ,8372,8061,-3.71
628, Illinois,Hancock ,18893,18508,-2.04
629, Illinois,Hardin ,4263,4024,-5.61
630, Illinois,Henderson ,7049,6869,-2.55
631, Illinois,Henry ,50160,49280,-1.75
632, Illinois,Iroquois ,29300,28334,-3.3
633, Illinois,Jackson ,58962,58870,-0.16
634, Illinois,Jasper ,9646,9536,-1.14
635, Illinois,Jefferson ,38666,38460,-0.53
636, Illinois,Jersey ,22732,22025,-3.11
637, Illinois,Jo Daviess ,22496,21770,-3.23
638, Illinois,Johnson ,12912,12902,-0.08
639, Illinois,Kane ,521431,531715,1.97
640, Illinois,Kankakee ,112976,110008,-2.63
641, Illinois,Kendall ,118344,124695,5.37
642, Illinois,Knox ,52302,50938,-2.61
643, Illinois,Lake ,701220,703047,0.26
644, Illinois,LaSalle ,113109,110642,-2.18
645, Illinois,Lawrence ,16682,16377,-1.83
646, Illinois,Lee ,35114,34251,-2.46
647, Illinois,Livingston ,38553,36526,-5.26
648, Illinois,Logan ,30388,29527,-2.83
649, Illinois,McDonough ,32516,30996,-4.67
650, Illinois,McHenry ,307529,307004,-0.17
651, Illinois,McLean ,172560,172418,-0.08
652, Illinois,Macon ,110083,106550,-3.21
653, Illinois,Macoupin ,47179,45908,-2.69
654, Illinois,Madison ,268083,265759,-0.87
655, Illinois,Marion ,38919,38140,-2.0
656, Illinois,Marshall ,12274,11939,-2.73
657, Illinois,Mason ,14346,13507,-5.85
658, Illinois,Massac ,15149,14658,-3.24
659, Illinois,Menard ,12726,12516,-1.65
660, Illinois,Mercer ,16190,15730,-2.84
661, Illinois,Monroe ,33321,34068,2.24
662, Illinois,Montgomery ,29605,28952,-2.21
663, Illinois,Morgan ,35365,34277,-3.08
664, Illinois,Moultrie ,14984,14827,-1.05
665, Illinois,Ogle ,52834,51273,-2.95
666, Illinois,Peoria ,187121,185006,-1.13
667, Illinois,Perry ,21862,21357,-2.31
668, Illinois,Piatt ,16523,16560,0.22
669, Illinois,Pike ,16261,15950,-1.91
670, Illinois,Pope ,4333,4157,-4.06
671, Illinois,Pulaski ,5968,5619,-5.85
672, Illinois,Putnam ,5880,5611,-4.57
673, Illinois,Randolph ,32987,32621,-1.11
674, Illinois,Richland ,16182,15930,-1.56
675, Illinois,Rock Island ,147638,144784,-1.93
676, Illinois,St. Clair ,268612,262759,-2.18
677, Illinois,Saline ,24970,24307,-2.66
678, Illinois,Sangamon ,199269,197499,-0.89
679, Illinois,Schuyler ,7458,6923,-7.17
680, Illinois,Scott ,5293,5053,-4.53
681, Illinois,Shelby ,22252,21717,-2.4
682, Illinois,Stark ,5937,5776,-2.71
683, Illinois,Stephenson ,46938,45624,-2.8
684, Illinois,Tazewell ,136111,134385,-1.27
685, Illinois,Union ,17639,17212,-2.42
686, Illinois,Vermilion ,80774,78111,-3.3
687, Illinois,Wabash ,11722,11492,-1.96
688, Illinois,Warren ,17736,17378,-2.02
689, Illinois,Washington ,14618,14154,-3.17
690, Illinois,Wayne ,16624,16396,-1.37
691, Illinois,White ,14562,14292,-1.85
692, Illinois,Whiteside ,57786,56536,-2.16
693, Illinois,Will ,682091,689529,1.09
694, Illinois,Williamson ,66793,67560,1.15
695, Illinois,Winnebago ,291934,285873,-2.08
696, Illinois,Woodford ,38943,39140,0.51
697, Indiana,Adams ,34439,35232,2.3
698, Indiana,Allen ,360753,370404,2.68
699, Indiana,Bartholomew ,78927,81402,3.14
700, Indiana,Benton ,8812,8650,-1.84
701, Indiana,Blackford ,12535,12149,-3.08
702, Indiana,Boone ,59070,64653,9.45
703, Indiana,Brown ,15051,14912,-0.92
704, Indiana,Carroll ,20129,19970,-0.79
705, Indiana,Cass ,38710,37946,-1.97
706, Indiana,Clark ,111912,116031,3.68
707, Indiana,Clay ,26825,26309,-1.92
708, Indiana,Clinton ,32942,32457,-1.47
709, Indiana,Crawford ,10650,10539,-1.04
710, Indiana,Daviess ,32139,32969,2.58
711, Indiana,Dearborn ,49751,49331,-0.84
712, Indiana,Decatur ,26049,26598,2.11
713, Indiana,DeKalb ,42304,42746,1.04
714, Indiana,Delaware ,117090,115603,-1.27
715, Indiana,Dubois ,42090,42552,1.1
716, Indiana,Elkhart ,199172,203781,2.31
717, Indiana,Fayette ,23953,23331,-2.6
718, Indiana,Floyd ,75344,76990,2.18
719, Indiana,Fountain ,17103,16486,-3.61
720, Indiana,Franklin ,22993,22715,-1.21
721, Indiana,Fulton ,20655,20139,-2.5
722, Indiana,Gibson ,33565,33703,0.41
723, Indiana,Grant ,69198,66937,-3.27
724, Indiana,Greene ,33001,32211,-2.39
725, Indiana,Hamilton ,289681,316373,9.21
726, Indiana,Hancock ,70645,73717,4.35
727, Indiana,Harrison ,39064,39826,1.95
728, Indiana,Hendricks ,150773,160610,6.52
729, Indiana,Henry ,49256,48521,-1.49
730, Indiana,Howard ,82914,82568,-0.42
731, Indiana,Huntington ,36993,36400,-1.6
732, Indiana,Jackson ,43028,44013,2.29
733, Indiana,Jasper ,33473,33433,-0.12
734, Indiana,Jay ,21368,21046,-1.51
735, Indiana,Jefferson ,32510,32418,-0.28
736, Indiana,Jennings ,28182,27758,-1.5
737, Indiana,Johnson ,143535,151982,5.88
738, Indiana,Knox ,38019,37744,-0.72
739, Indiana,Kosciusko ,77731,79092,1.75
740, Indiana,LaGrange ,37651,39110,3.88
741, Indiana,Lake ,493071,485846,-1.47
742, Indiana,LaPorte ,111201,110015,-1.07
743, Indiana,Lawrence ,46032,45518,-1.12
744, Indiana,Madison ,130243,129296,-0.73
745, Indiana,Marion ,918692,941229,2.45
746, Indiana,Marshall ,46972,46556,-0.89
747, Indiana,Martin ,10314,10171,-1.39
748, Indiana,Miami ,36504,35883,-1.7
749, Indiana,Monroe ,141311,145496,2.96
750, Indiana,Montgomery ,38171,38074,-0.25
751, Indiana,Morgan ,69204,69698,0.71
752, Indiana,Newton ,14062,13924,-0.98
753, Indiana,Noble ,47429,47638,0.44
754, Indiana,Ohio ,6107,5932,-2.87
755, Indiana,Orange ,19677,19335,-1.74
756, Indiana,Owen ,21362,20840,-2.44
757, Indiana,Parke ,17089,16800,-1.69
758, Indiana,Perry ,19416,18966,-2.32
759, Indiana,Pike ,12716,12431,-2.24
760, Indiana,Porter ,165772,167791,1.22
761, Indiana,Posey ,25627,25476,-0.59
762, Indiana,Pulaski ,13060,12660,-3.06
763, Indiana,Putnam ,37725,37436,-0.77
764, Indiana,Randolph ,25856,25082,-2.99
765, Indiana,Ripley ,28571,28846,0.96
766, Indiana,Rush ,17133,16649,-2.82
767, Indiana,St. Joseph ,266612,269141,0.95
768, Indiana,Scott ,23769,23730,-0.16
769, Indiana,Shelby ,44345,44324,-0.05
770, Indiana,Spencer ,20866,20648,-1.04
771, Indiana,Starke ,23195,23009,-0.8
772, Indiana,Steuben ,34164,34116,-0.14
773, Indiana,Sullivan ,21216,20802,-1.95
774, Indiana,Switzerland ,10395,10527,1.27
775, Indiana,Tippecanoe ,178430,188059,5.4
776, Indiana,Tipton ,15728,15182,-3.47
777, Indiana,Union ,7334,7212,-1.66
778, Indiana,Vanderburgh ,181031,181721,0.38
779, Indiana,Vermillion ,15941,15645,-1.86
780, Indiana,Vigo ,108528,107931,-0.55
781, Indiana,Wabash ,32437,31762,-2.08
782, Indiana,Warren ,8391,8166,-2.68
783, Indiana,Warrick ,60458,62498,3.37
784, Indiana,Washington ,27911,27670,-0.86
785, Indiana,Wayne ,68304,66568,-2.54
786, Indiana,Wells ,27713,27949,0.85
787, Indiana,White ,24390,23999,-1.6
788, Indiana,Whitley ,33283,33449,0.5
789, Iowa,Adair ,7493,7092,-5.35
790, Iowa,Adams ,3905,3693,-5.43
791, Iowa,Allamakee ,14134,13884,-1.77
792, Iowa,Appanoose ,12702,12462,-1.89
793, Iowa,Audubon ,5883,5678,-3.48
794, Iowa,Benton ,25855,25699,-0.6
795, Iowa,Black Hawk ,131761,132904,0.87
796, Iowa,Boone ,26228,26532,1.16
797, Iowa,Bremer ,24477,24798,1.31
798, Iowa,Buchanan ,20964,20992,0.13
799, Iowa,Buena Vista ,20543,20332,-1.03
800, Iowa,Butler ,14991,14791,-1.33
801, Iowa,Calhoun ,9924,9846,-0.79
802, Iowa,Carroll ,20685,20437,-1.2
803, Iowa,Cass ,13711,13157,-4.04
804, Iowa,Cedar ,18402,18454,0.28
805, Iowa,Cerro Gordo ,43723,43070,-1.49
806, Iowa,Cherokee ,11959,11508,-3.77
807, Iowa,Chickasaw ,12284,12023,-2.12
808, Iowa,Clarke ,9351,9309,-0.45
809, Iowa,Clay ,16576,16333,-1.47
810, Iowa,Clayton ,17926,17590,-1.87
811, Iowa,Clinton ,48716,47309,-2.89
812, Iowa,Crawford ,17325,16940,-2.22
813, Iowa,Dallas ,72271,84516,16.94
814, Iowa,Davis ,8697,8860,1.87
815, Iowa,Decatur ,8255,8141,-1.38
816, Iowa,Delaware ,17578,17327,-1.43
817, Iowa,Des Moines ,40265,39739,-1.31
818, Iowa,Dickinson ,16986,17243,1.51
819, Iowa,Dubuque ,95211,97003,1.88
820, Iowa,Emmet ,9964,9658,-3.07
821, Iowa,Fayette ,20803,20054,-3.6
822, Iowa,Floyd ,16107,15873,-1.45
823, Iowa,Franklin ,10523,10170,-3.35
824, Iowa,Fremont ,7143,6950,-2.7
825, Iowa,Greene ,9171,9011,-1.74
826, Iowa,Grundy ,12440,12313,-1.02
827, Iowa,Guthrie ,10777,10625,-1.41
828, Iowa,Hamilton ,15327,15076,-1.64
829, Iowa,Hancock ,11165,10835,-2.96
830, Iowa,Hardin ,17353,17226,-0.73
831, Iowa,Harrison ,14522,14149,-2.57
832, Iowa,Henry ,20044,19773,-1.35
833, Iowa,Howard ,9576,9332,-2.55
834, Iowa,Humboldt ,9720,9487,-2.4
835, Iowa,Ida ,7091,6985,-1.49
836, Iowa,Iowa ,16218,16311,0.57
837, Iowa,Jackson ,19693,19472,-1.12
838, Iowa,Jasper ,36566,36708,0.39
839, Iowa,Jefferson ,17201,18090,5.17
840, Iowa,Johnson ,136865,146547,7.07
841, Iowa,Jones ,20595,20439,-0.76
842, Iowa,Keokuk ,10397,10119,-2.67
843, Iowa,Kossuth ,15373,15114,-1.68
844, Iowa,Lee ,35610,34615,-2.79
845, Iowa,Linn ,215255,221661,2.98
846, Iowa,Louisa ,11340,11142,-1.75
847, Iowa,Lucas ,8754,8647,-1.22
848, Iowa,Lyon ,11772,11754,-0.15
849, Iowa,Madison ,15639,15848,1.34
850, Iowa,Mahaska ,22419,22181,-1.06
851, Iowa,Marion ,33315,33189,-0.38
852, Iowa,Marshall ,41053,40312,-1.8
853, Iowa,Mills ,14853,14972,0.8
854, Iowa,Mitchell ,10746,10763,0.16
855, Iowa,Monona ,9138,8898,-2.63
856, Iowa,Monroe ,8066,7870,-2.43
857, Iowa,Montgomery ,10567,10225,-3.24
858, Iowa,Muscatine ,42884,42940,0.13
859, Iowa,O'Brien ,14161,14020,-1.0
860, Iowa,Osceola ,6180,6064,-1.88
861, Iowa,Page ,15750,15391,-2.28
862, Iowa,Palo Alto ,9281,9047,-2.52
863, Iowa,Plymouth ,24888,25200,1.25
864, Iowa,Pocahontas ,7161,6886,-3.84
865, Iowa,Polk ,443821,474045,6.81
866, Iowa,Pottawattamie ,92887,93582,0.75
867, Iowa,Poweshiek ,18766,18533,-1.24
868, Iowa,Ringgold ,5082,5068,-0.28
869, Iowa,Sac ,10177,9876,-2.96
870, Iowa,Scott ,168840,172474,2.15
871, Iowa,Shelby ,12082,11800,-2.33
872, Iowa,Sioux ,34339,34898,1.63
873, Iowa,Story ,91799,97090,5.76
874, Iowa,Tama ,17536,17319,-1.24
875, Iowa,Taylor ,6237,6216,-0.34
876, Iowa,Union ,12599,12420,-1.42
877, Iowa,Van Buren ,7456,7271,-2.48
878, Iowa,Wapello ,35357,34982,-1.06
879, Iowa,Warren ,46991,49691,5.75
880, Iowa,Washington ,21928,22281,1.61
881, Iowa,Wayne ,6364,6452,1.38
882, Iowa,Webster ,37252,36769,-1.3
883, Iowa,Winnebago ,10634,10631,-0.03
884, Iowa,Winneshiek ,21042,20561,-2.29
885, Iowa,Woodbury ,102330,102779,0.44
886, Iowa,Worth ,7525,7572,0.62
887, Iowa,Wright ,13019,12779,-1.84
888, Kansas,Allen ,13336,12714,-4.66
889, Kansas,Anderson ,7912,7827,-1.07
890, Kansas,Atchison ,16793,16380,-2.46
891, Kansas,Barber ,4866,4688,-3.66
892, Kansas,Barton ,27515,26775,-2.69
893, Kansas,Bourbon ,14844,14617,-1.53
894, Kansas,Brown ,9879,9684,-1.97
895, Kansas,Butler ,65781,67025,1.89
896, Kansas,Chase ,2752,2669,-3.02
897, Kansas,Chautauqua ,3565,3374,-5.36
898, Kansas,Cherokee ,21201,20246,-4.5
899, Kansas,Cheyenne ,2677,2661,-0.6
900, Kansas,Clark ,2179,2072,-4.91
901, Kansas,Clay ,8508,8143,-4.29
902, Kansas,Cloud ,9407,9150,-2.73
903, Kansas,Coffey ,8507,8433,-0.87
904, Kansas,Comanche ,1910,1862,-2.51
905, Kansas,Cowley ,36262,35753,-1.4
906, Kansas,Crawford ,39369,39164,-0.52
907, Kansas,Decatur ,2877,2832,-1.56
908, Kansas,Dickinson ,19731,19064,-3.38
909, Kansas,Doniphan ,7869,7664,-2.61
910, Kansas,Douglas ,113304,119440,5.42
911, Kansas,Edwards ,2980,2938,-1.41
912, Kansas,Elk ,2678,2547,-4.89
913, Kansas,Ellis ,29125,28893,-0.8
914, Kansas,Ellsworth ,6471,6328,-2.21
915, Kansas,Finney ,37114,36722,-1.06
916, Kansas,Ford ,34729,33971,-2.18
917, Kansas,Franklin ,25859,25560,-1.16
918, Kansas,Geary ,37947,35586,-6.22
919, Kansas,Gove ,2722,2589,-4.89
920, Kansas,Graham ,2587,2564,-0.89
921, Kansas,Grant ,7824,7646,-2.28
922, Kansas,Gray ,5983,6034,0.85
923, Kansas,Greeley ,1270,1296,2.05
924, Kansas,Greenwood ,6440,6151,-4.49
925, Kansas,Hamilton ,2635,2536,-3.76
926, Kansas,Harper ,5859,5685,-2.97
927, Kansas,Harvey ,34796,34913,0.34
928, Kansas,Haskell ,4196,4006,-4.53
929, Kansas,Hodgeman ,1964,1870,-4.79
930, Kansas,Jackson ,13417,13291,-0.94
931, Kansas,Jefferson ,18921,18897,-0.13
932, Kansas,Jewell ,3040,2901,-4.57
933, Kansas,Johnson ,559515,584451,4.46
934, Kansas,Kearny ,3983,3917,-1.66
935, Kansas,Kingman ,7831,7467,-4.65
936, Kansas,Kiowa ,2505,2483,-0.88
937, Kansas,Labette ,21206,20444,-3.59
938, Kansas,Lane ,1701,1636,-3.82
939, Kansas,Leavenworth ,77713,80204,3.21
940, Kansas,Lincoln ,3170,3073,-3.06
941, Kansas,Linn ,9482,9558,0.8
942, Kansas,Logan ,2792,2831,1.4
943, Kansas,Lyon ,33534,33510,-0.07
944, Kansas,McPherson ,29341,28804,-1.83
945, Kansas,Marion ,12379,12112,-2.16
946, Kansas,Marshall ,10065,9836,-2.28
947, Kansas,Meade ,4397,4216,-4.12
948, Kansas,Miami ,32622,32964,1.05
949, Kansas,Mitchell ,6334,6243,-1.44
950, Kansas,Montgomery ,34447,32746,-4.94
951, Kansas,Morris ,5852,5573,-4.77
952, Kansas,Morton ,3133,2848,-9.1
953, Kansas,Nemaha ,10117,10241,1.23
954, Kansas,Neosho ,16462,16146,-1.92
955, Kansas,Ness ,3083,2962,-3.92
956, Kansas,Norton ,5597,5493,-1.86
957, Kansas,Osage ,16170,15843,-2.02
958, Kansas,Osborne ,3818,3642,-4.61
959, Kansas,Ottawa ,6062,5920,-2.34
960, Kansas,Pawnee ,6894,6743,-2.19
961, Kansas,Phillips ,5516,5428,-1.6
962, Kansas,Pottawatomie ,22335,23661,5.94
963, Kansas,Pratt ,9772,9584,-1.92
964, Kansas,Rawlins ,2540,2549,0.35
965, Kansas,Reno ,64245,63220,-1.6
966, Kansas,Republic ,4847,4699,-3.05
967, Kansas,Rice ,10000,9831,-1.69
968, Kansas,Riley ,76273,73343,-3.84
969, Kansas,Rooks ,5212,5076,-2.61
970, Kansas,Rush ,3208,3058,-4.68
971, Kansas,Russell ,6978,6988,0.14
972, Kansas,Saline ,55838,55142,-1.25
973, Kansas,Scott ,4870,5032,3.33
974, Kansas,Sedgwick ,503945,511995,1.6
975, Kansas,Seward ,23403,22709,-2.97
976, Kansas,Shawnee ,178980,178146,-0.47
977, Kansas,Sheridan ,2531,2509,-0.87
978, Kansas,Sherman ,6106,5965,-2.31
979, Kansas,Smith ,3751,3632,-3.17
980, Kansas,Stafford ,4343,4208,-3.11
981, Kansas,Stanton ,2163,2062,-4.67
982, Kansas,Stevens ,5748,5584,-2.85
983, Kansas,Sumner ,23701,23272,-1.81
984, Kansas,Thomas ,7938,7892,-0.58
985, Kansas,Trego ,2969,2872,-3.27
986, Kansas,Wabaunsee ,7007,6891,-1.66
987, Kansas,Wallace ,1528,1497,-2.03
988, Kansas,Washington ,5726,5546,-3.14
989, Kansas,Wichita ,2230,2112,-5.29
990, Kansas,Wilson ,9126,8723,-4.42
991, Kansas,Woodson ,3267,3165,-3.12
992, Kansas,Wyandotte ,159360,163831,2.81
993, Kentucky,Adair ,18931,19280,1.84
994, Kentucky,Allen ,20232,20631,1.97
995, Kentucky,Anderson ,21660,22158,2.3
996, Kentucky,Ballard ,8311,8054,-3.09
997, Kentucky,Barren ,42645,43993,3.16
998, Kentucky,Bath ,11802,12327,4.45
999, Kentucky,Bell ,28247,27117,-4.0
1000, Kentucky,Boone ,122847,128536,4.63
1001, Kentucky,Bourbon ,19985,20030,0.23
1002, Kentucky,Boyd ,49256,48132,-2.28
1003, Kentucky,Boyle ,28993,30018,3.54
1004, Kentucky,Bracken ,8468,8400,-0.8
1005, Kentucky,Breathitt ,13657,13284,-2.73
1006, Kentucky,Breckinridge ,20095,19961,-0.67
1007, Kentucky,Bullitt ,75947,79151,4.22
1008, Kentucky,Butler ,12794,12845,0.4
1009, Kentucky,Caldwell ,12938,12568,-2.86
1010, Kentucky,Calloway ,38057,38437,1.0
1011, Kentucky,Campbell ,90780,92211,1.58
1012, Kentucky,Carlisle ,5042,4855,-3.71
1013, Kentucky,Carroll ,10869,10679,-1.75
1014, Kentucky,Carter ,27473,27046,-1.55
1015, Kentucky,Casey ,16081,15815,-1.65
1016, Kentucky,Christian ,75638,72351,-4.35
1017, Kentucky,Clark ,35752,35819,0.19
1018, Kentucky,Clay ,21565,20766,-3.71
1019, Kentucky,Clinton ,10243,10177,-0.64
1020, Kentucky,Crittenden ,9259,9188,-0.77
1021, Kentucky,Cumberland ,6861,6738,-1.79
1022, Kentucky,Daviess ,97886,99674,1.83
1023, Kentucky,Edmonson ,12141,12114,-0.22
1024, Kentucky,Elliott ,7761,7588,-2.23
1025, Kentucky,Estill ,14488,14307,-1.25
1026, Kentucky,Fayette ,305201,318449,4.34
1027, Kentucky,Fleming ,14547,14507,-0.27
1028, Kentucky,Floyd ,39232,37110,-5.41
1029, Kentucky,Franklin ,49514,50560,2.11
1030, Kentucky,Fulton ,6536,6179,-5.46
1031, Kentucky,Gallatin ,8491,8609,1.39
1032, Kentucky,Garrard ,16953,17292,2.0
1033, Kentucky,Grant ,24489,24923,1.77
1034, Kentucky,Graves ,37535,37182,-0.94
1035, Kentucky,Grayson ,25864,26184,1.24
1036, Kentucky,Green ,11317,11060,-2.27
1037, Kentucky,Greenup ,36647,35893,-2.06
1038, Kentucky,Hancock ,8666,8810,1.66
1039, Kentucky,Hardin ,107173,107316,0.13
1040, Kentucky,Harlan ,28715,27168,-5.39
1041, Kentucky,Harrison ,18602,18646,0.24
1042, Kentucky,Hart ,18409,18627,1.18
1043, Kentucky,Henderson ,46445,46253,-0.41
1044, Kentucky,Henry ,15325,15818,3.22
1045, Kentucky,Hickman ,4751,4627,-2.61
1046, Kentucky,Hopkins ,46707,45904,-1.72
1047, Kentucky,Jackson ,13315,13368,0.4
1048, Kentucky,Jefferson ,751342,765352,1.86
1049, Kentucky,Jessamine ,49550,52357,5.66
1050, Kentucky,Johnson ,23441,22978,-1.98
1051, Kentucky,Kenton ,161297,164945,2.26
1052, Kentucky,Knott ,16124,15544,-3.6
1053, Kentucky,Knox ,31741,31687,-0.17
1054, Kentucky,Larue ,14093,14096,0.02
1055, Kentucky,Laurel ,59603,60250,1.09
1056, Kentucky,Lawrence ,15846,15863,0.11
1057, Kentucky,Lee ,7551,6580,-12.86
1058, Kentucky,Leslie ,11170,10538,-5.66
1059, Kentucky,Letcher ,24039,22773,-5.27
1060, Kentucky,Lewis ,13754,13442,-2.27
1061, Kentucky,Lincoln ,24431,24372,-0.24
1062, Kentucky,Livingston ,9448,9269,-1.89
1063, Kentucky,Logan ,26682,26593,-0.33
1064, Kentucky,Lyon ,8440,8069,-4.4
1065, Kentucky,McCracken ,65635,65162,-0.72
1066, Kentucky,McCreary ,18058,17511,-3.03
1067, Kentucky,McLean ,9526,9475,-0.54
1068, Kentucky,Madison ,85517,89547,4.71
1069, Kentucky,Magoffin ,13050,12684,-2.8
1070, Kentucky,Marion ,19974,19205,-3.85
1071, Kentucky,Marshall ,31289,31365,0.24
1072, Kentucky,Martin ,12788,12002,-6.15
1073, Kentucky,Mason ,17458,17190,-1.54
1074, Kentucky,Meade ,29301,28126,-4.01
1075, Kentucky,Menifee ,6323,6408,1.34
1076, Kentucky,Mercer ,21373,21477,0.49
1077, Kentucky,Metcalfe ,9999,10018,0.19
1078, Kentucky,Monroe ,10844,10588,-2.36
1079, Kentucky,Montgomery ,26894,27771,3.26
1080, Kentucky,Morgan ,13531,13298,-1.72
1081, Kentucky,Muhlenberg ,31377,31028,-1.11
1082, Kentucky,Nelson ,44376,45559,2.67
1083, Kentucky,Nicholas ,7027,7084,0.81
1084, Kentucky,Ohio ,24056,24378,1.34
1085, Kentucky,Oldham ,62104,65560,5.56
1086, Kentucky,Owen ,10754,10642,-1.04
1087, Kentucky,Owsley ,4691,4491,-4.26
1088, Kentucky,Pendleton ,14523,14560,0.25
1089, Kentucky,Perry ,28376,27343,-3.64
1090, Kentucky,Pike ,64645,60555,-6.33
1091, Kentucky,Powell ,12483,12308,-1.4
1092, Kentucky,Pulaski ,63508,63956,0.71
1093, Kentucky,Robertson ,2220,2155,-2.93
1094, Kentucky,Rockcastle ,17084,16850,-1.37
1095, Kentucky,Rowan ,23873,24451,2.42
1096, Kentucky,Russell ,17566,17722,0.89
1097, Kentucky,Scott ,49066,53972,10.0
1098, Kentucky,Shelby ,43651,46408,6.32
1099, Kentucky,Simpson ,17592,18083,2.79
1100, Kentucky,Spencer ,17426,18274,4.87
1101, Kentucky,Taylor ,25077,25397,1.28
1102, Kentucky,Todd ,12639,12295,-2.72
1103, Kentucky,Trigg ,14409,14264,-1.01
1104, Kentucky,Trimble ,8830,8620,-2.38
1105, Kentucky,Union ,15114,14880,-1.55
1106, Kentucky,Warren ,117040,125532,7.26
1107, Kentucky,Washington ,11879,12189,2.61
1108, Kentucky,Wayne ,20789,20453,-1.62
1109, Kentucky,Webster ,13476,13316,-1.19
1110, Kentucky,Whitley ,35621,36096,1.33
1111, Kentucky,Wolfe ,7205,7159,-0.64
1112, Kentucky,Woodford ,25072,26124,4.2
1113, Louisiana,Acadia ,61884,62645,1.23
1114, Louisiana,Allen ,25566,25684,0.46
1115, Louisiana,Ascension ,112235,121587,8.33
1116, Louisiana,Assumption ,23089,22695,-1.71
1117, Louisiana,Avoyelles ,41612,41117,-1.19
1118, Louisiana,Beauregard ,36313,36927,1.69
1119, Louisiana,Bienville ,14167,13865,-2.13
1120, Louisiana,Bossier ,123165,126057,2.35
1121, Louisiana,Caddo ,257396,248851,-3.32
1122, Louisiana,Calcasieu ,194563,200601,3.1
1123, Louisiana,Caldwell ,10012,10087,0.75
1124, Louisiana,Cameron ,6627,6882,3.85
1125, Louisiana,Catahoula ,10263,9921,-3.33
1126, Louisiana,Claiborne ,16851,16132,-4.27
1127, Louisiana,Concordia ,20458,19920,-2.63
1128, Louisiana,De Soto ,26991,27149,0.59
1129, Louisiana,East Baton Rouge ,443039,447037,0.9
1130, Louisiana,East Carroll ,7573,7271,-3.99
1131, Louisiana,East Feliciana ,19943,19683,-1.3
1132, Louisiana,Evangeline ,33754,33709,-0.13
1133, Louisiana,Franklin ,20605,20330,-1.33
1134, Louisiana,Grant ,22404,22365,-0.17
1135, Louisiana,Iberia ,73890,73273,-0.84
1136, Louisiana,Iberville ,33319,32920,-1.2
1137, Louisiana,Jackson ,16237,15808,-2.64
1138, Louisiana,Jefferson ,434312,436523,0.51
1139, Louisiana,Jefferson Davis ,31441,31413,-0.09
1140, Louisiana,Lafayette ,227083,241398,6.3
1141, Louisiana,Lafourche,97074,98305,1.27
1142, Louisiana,LaSalle ,14877,15052,1.18
1143, Louisiana,Lincoln ,47123,47745,1.32
1144, Louisiana,Livingston ,131940,140138,6.21
1145, Louisiana,Madison ,12206,11528,-5.55
1146, Louisiana,Morehouse ,27454,26071,-5.04
1147, Louisiana,Natchitoches ,39491,39162,-0.83
1148, Louisiana,Orleans ,370138,391495,5.77
1149, Louisiana,Ouachita ,155342,156983,1.06
1150, Louisiana,Plaquemines ,23893,23464,-1.8
1151, Louisiana,Pointe Coupee ,22706,22159,-2.41
1152, Louisiana,Rapides ,132184,132424,0.18
1153, Louisiana,Red River ,9032,8550,-5.34
1154, Louisiana,Richland ,20912,20430,-2.3
1155, Louisiana,Sabine ,24310,23977,-1.37
1156, Louisiana,St. Bernard ,41519,45688,10.04
1157, Louisiana,St. Charles ,52484,52923,0.84
1158, Louisiana,St. Helena ,11036,10512,-4.75
1159, Louisiana,St. James ,21665,21557,-0.5
1160, Louisiana,St. John the Baptist ,44760,43631,-2.52
1161, Louisiana,St. Landry ,83490,83883,0.47
1162, Louisiana,St. Martin ,52729,54007,2.42
1163, Louisiana,St. Mary ,53554,52093,-2.73
1164, Louisiana,St. Tammany ,239323,253602,5.97
